昆明长水,昆明长水,昆明长水,昆明长水,昆明长水,昆明长水,昆明长水,昆明长水,昆明长水,昆明长水,广州白云,广州白云,广州白云,广州白云,广州白云,广州白云,广州白云,广州白云,广州白云,广州白云,北京首都,北京首都,北京首都,北京首都,北京首都,北京首都,北京首都,北京首都,北京首都,北京首都,北京大兴,北京大兴,北京大兴,北京大兴,北京大兴,北京大兴,北京大兴,北京大兴,北京大兴,北京大兴,深圳宝安,深圳宝安,深圳宝安,深圳宝安,深圳宝安,深圳宝安,深圳宝安,深圳宝安,深圳宝安,深圳宝安,杭州萧山,杭州萧山,杭州萧山,杭州萧山,杭州萧山,杭州萧山,杭州萧山,杭州萧山,杭州萧山,杭州萧山,成都天府,成都天府,成都天府,成都天府,成都天府,成都天府,成都天府,成都天府,成都天府,成都天府,上海虹桥,上海虹桥,上海虹桥,上海虹桥,上海虹桥,上海虹桥,上海虹桥,上海虹桥,上海虹桥,上海虹桥,上海浦东,上海浦东,上海浦东,上海浦东,上海浦东,上海浦东,上海浦东,上海浦东,上海浦东,上海浦东,成都双流,成都双流,成都双流,成都双流,成都双流,成都双流,成都双流,成都双流,成都双流,成都双流,重庆江北,重庆江北,重庆江北,重庆江北,重庆江北,重庆江北,重庆江北,重庆江北,重庆江北,重庆江北,西安咸阳,西安咸阳,西安咸阳,西安咸阳,西安咸阳,西安咸阳,西安咸阳,西安咸阳,西安咸阳,西安咸阳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日期,航班架次,航班架次,航班架次,旅客人数,旅客人数,旅客人数,货邮重量（吨）,货邮重量（吨）,货邮重量（吨）,日期,航班架次,航班架次,航班架次,旅客人数,旅客人数,旅客人数,货邮重量（吨）,货邮重量（吨）,货邮重量（吨）,日期,航班架次,航班架次,航班架次,旅客人数,旅客人数,旅客人数,货邮重量（吨）,货邮重量（吨）,货邮重量（吨）,日期,航班架次,航班架次,航班架次,旅客人数,旅客人数,旅客人数,货邮重量（吨）,货邮重量（吨）,货邮重量（吨）,日期,航班架次,航班架次,航班架次,旅客人数,旅客人数,旅客人数,货邮重量（吨）,货邮重量（吨）,货邮重量（吨）,日期,航班架次,航班架次,航班架次,旅客人数,旅客人数,旅客人数,货邮重量（吨）,货邮重量（吨）,货邮重量（吨）,日期,航班架次,航班架次,航班架次,旅客人数,旅客人数,旅客人数,货邮重量（吨）,货邮重量（吨）,货邮重量（吨）,日期,航班架次,航班架次,航班架次,旅客人数,旅客人数,旅客人数,货邮重量（吨）,货邮重量（吨）,货邮重量（吨）,日期,航班架次,航班架次,航班架次,旅客人数,旅客人数,旅客人数,货邮重量（吨）,货邮重量（吨）,货邮重量（吨）,日期,航班架次,航班架次,航班架次,旅客人数,旅客人数,旅客人数,货邮重量（吨）,货邮重量（吨）,货邮重量（吨）,日期,航班架次,航班架次,航班架次,旅客人数,旅客人数,旅客人数,货邮重量（吨）,货邮重量（吨）,货邮重量（吨）,日期,航班架次,航班架次,航班架次,旅客人数,旅客人数,旅客人数,货邮重量（吨）,货邮重量（吨）,货邮重量（吨）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日期,进港,出港,合计,进港,出港,合计,进港,出港,合计,日期,进港,出港,合计,进港,出港,合计,进港,出港,合计,日期,进港,出港,合计,进港,出港,合计,进港,出港,合计,日期,进港,出港,合计,进港,出港,合计,进港,出港,合计,日期,进港,出港,合计,进港,出港,合计,进港,出港,合计,日期,进港,出港,合计,进港,出港,合计,进港,出港,合计,日期,进港,出港,合计,进港,出港,合计,进港,出港,合计,日期,进港,出港,合计,进港,出港,合计,进港,出港,合计,日期,进港,出港,合计,进港,出港,合计,进港,出港,合计,日期,进港,出港,合计,进港,出港,合计,进港,出港,合计,日期,进港,出港,合计,进港,出港,合计,进港,出港,合计,日期,进港,出港,合计,进港,出港,合计,进港,出港,合计,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-09,463,463,926,66557,64062,130619,414.397,705.225,1119.622,45666,747,761,1508,104987,117217,222204,2358.52,3654.06,6012.58,45666,589,605,1194,89167,97147,186314,1900.96,1877.6,3778.56,45300,456,458,914,69239,73513,142752,697.24,474.19,1171.43,45666,624,634,1258,90560,92554,183114,1985.457,4459.249,6444.706,45666,431,430,861,61991,65320,127311,840.792,1410.116,2250.908,45666,495,500,995,74301,72686,146987,528.72,451.35,980.07,45666,387,381,768,64672,70943,135615,718.257,643.691,1361.948,45666,753,752,1505,95972,118107,214079,3755,6766,10521,45666,298,300,598,46479,44041,90520,490.2,611.8,1102,45666,451,447,898,67786,62150,129936,590.2,565.3,1155.6,45666,451,456,907,60350,64133,124483,570.1,361.2,931.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-10,482,479,961,69412,67108,136520,410.795,623.052,1033.847,45667,768,763,1531,108368,114034,222402,2376.54,3121.61,5498.15,45667,622,621,1243,91311,98339,189650,2109.2,2051.91,4161.1,45667,472,475,947,69233,75123,144356,696.43,472.42,1168.85,45667,640,641,1281,94129,94364,188493,1998.3,3790.746,5789.046,45667,431,435,866,63066,65275,128341,859.6743,1350.3573,2210.0316,45667,521,530,1051,76010,76844,152854,635.58,576.44,1212.02,45667,388,396,784,66652,69681,136333,690.281,610.157,1300.438,45667,756,759,1515,98842,121759,220601,3945,6737,10682,45667,294,294,588,46240,45154,91394,528.1,544.8,1072.9,45667,447,455,902,66697,64133,130830,603,583.8,1186.8,45667,465,462,927,61941,61316,123257,451.6,315.5,767.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-11,464,465,929,65208,63751,128959,438.692,657.727,1096.4189999999999,45668,742,738,1480,101347,109610,210957,2787.59,4272.84,7060.43,45668,607,622,1229,86906,96939,183845,2330.41,2199.05,4529.46,45668,466,469,935,66421,71422,137843,669.2,498.54,1167.74,45668,642,642,1284,86853,88625,175478,1989.861,4026.038,6015.899,45668,422,430,852,58281,63667,121948,811.265,1406.044,2217.309,45668,517,510,1027,74268,72624,146892,626.68,540.15,1166.83,45668,387,386,773,60910,65397,126307,631.78,603.46,1235.24,45668,756,748,1504,99509,117956,217465,4224,6194,10418,45668,297,297,594,43571,43386,86957,486.1,554.7,1040.8000000000002,45668,456,459,915,64992,61660,126652,607.6,847.3,1454.9,45668,459,460,919,58622,60497,119119,490.577,419.493,910.0699999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-12,478,476,954,67114,66155,133269,425.502,679.569,1105.071,45669,755,759,1514,101153,113050,214203,2325.96,3977.73,6303.69,45669,624,610,1234,91739,98372,190111,2400.34,1934.99,4335.33,45669,482,474,956,69453,71349,140802,627.17,482.85,1110.02,45669,621,628,1249,90752,89779,180531,1507.37,3936.352,5443.722,45669,438,427,865,60966,63988,124954,830.218,1302.139,2132.357,45669,531,530,1061,74085,74076,148161,584.52,573.44,1157.96,45669,389,393,782,63686,65877,129563,628.658,580.534,1209.192,45669,757,750,1507,106803,117648,224451,4346,6660,11006,45669,298,300,598,43278,43939,87217,493.7,548.7,1042.4,45669,464,458,922,66484,62251,128735,600.5,618.6,1219.1,45669,467,468,935,58715,61665,120380,536.9,402.1,939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-13,490,491,981,67106,67055,134161,417.283,677.401,1094.684,45670,753,754,1507,102642,112807,215449,2139.35,3481.38,5620.73,45670,606,603,1209,87629,96623,184252,2044.28,2202.93,4247.21,45670,470,474,944,68235,71328,139563,568.06,440.15,1008.21,45670,612,615,1227,88356,90881,179237,1486.721,2624.767,4111.487999999999,45670,426,427,853,57683,64712,122395,759.177,1576.317,2335.494,45670,534,531,1065,75418,72178,147596,626.25,585.56,1211.81,45670,389,388,777,64219,67784,132003,626.521,547.423,1173.944,45670,752,766,1518,102678,119401,222079,3843,5960,9803,45670,290,292,582,44280,42683,86963,462.2,445.3,907.5,45670,464,460,924,67157,63810,130967,521.4,385.6,906.9,45670,467,466,933,58087,62231,120318,518.3,352.6,870.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-14,499,501,1000,69845,64627,134472,421.757,696.53,1118.287,45671,779,791,1570,104381,121239,225620,2503.06,3608.62,6111.68,45671,623,615,1238,89477,96707,186184,2148.653,2010.971,4159.624,45671,466,474,940,68384,71573,139957,670.549,496.896,1167.445,45671,639,635,1274,90496,93759,184255,2083.754,4563.776,6647.53,45671,449,452,901,59537,69022,128559,887.785,1257.083,2144.868,45671,547,557,1104,79888,76153,156041,643.8,714.32,1358.12,45671,393,389,782,66651,69248,135899,695.39,693.6,1388.99,45671,763,772,1535,104397,123085,227482,3571,6303,9874,45671,300,304,604,45879,42994,88873,529.1,478.3,1007.4000000000001,45671,476,485,961,70644,65851,136495,655.4,668,1323.4,45671,477,475,952,66114,67858,133972,695.1,410.2,1105.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-15,517,517,1034,74403,68778,143181,489.977,713.695,1203.672,45672,796,803,1599,112602,125890,238492,2534.92,4020.59,6555.51,45672,611,622,1233,96421,99787,196208,2281.64,2281.85,4563.49,45672,478,486,964,74334,75095,149429,820.68,471.51,1292.19,45672,658,653,1311,92663,100516,193179,2210.363,4379.668,6590.030999999999,45672,462,460,922,60371,71091,131462,1033.47,1828.56,2862.0299999999997,45672,556,559,1115,82408,76967,159375,635.59,627.16,1262.75,45672,401,405,806,71573,74057,145630,713.11,715.497,1428.607,45672,777,782,1559,107377,125581,232958,4063,6918,10981,45672,307,310,617,49932,46042,95974,566.3,645.3,1211.6,45672,496,499,995,75367,70942,146309,740.9,854.7,1595.6,45672,478,497,975,67836,70618,138454,659.9,479.7,1139.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-16,512,513,1025,72848,70559,143407,472.132,758.156,1230.288,45673,817,801,1618,113668,127330,240998,2754.63,4093.82,6848.45,45673,619,620,1239,99121,99000,198121,2435.838,2214.0279,4649.8659,45673,483,481,964,75487,74420,149907,757.278,507.041,1264.319,45673,653,653,1306,93976,101117,195093,2299.719,4747.95000000001,7047.66900000001,45673,468,474,942,63350,73682,137032,977.396,1449.482,2426.8779999999997,45673,562,561,1123,85783,77537,163320,723.23,558.39,1281.62,45673,397,396,793,70457,72847,143304,696.204,672.695,1368.899,45673,793,790,1583,108475,127579,236054,4419,7029,11443,45673,308,308,616,48891,45157,94048,526.8,557.8,1084.6,45673,494,489,983,75290,71150,146440,702.5,601.7,1304.2,45673,482,494,976,65711,66116,131827,658.4,449.1,1107.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-17,525,525,1050,77242,71037,148279,475.399,731.117,1206.516,45674,816,809,1625,115635,126688,242323,2597.65,4000.84,6598.49,45674,632,627,1259,100691,99363,200054,2700.02,2356.91,5056.93,45674,490,490,980,77018,76193,153211,800.07,520.16,1320.23,45674,671,662,1333,93742,102009,195751,2171.65,4160.138,6331.7880000000005,45674,469,474,943,63508,72262,135770,1107.9447,1707.152,2815.0967,45674,564,564,1128,84711,78820,163531,713.09,698.56,1411.65,45674,401,408,809,67646,73393,141039,738.31,682.51,1420.82,45674,806,804,1610,105208,131674,236882,5138,7185,12323,45674,305,306,611,48714,45697,94411,521.3,581.4,1102.6999999999998,45674,502,509,1011,77563,72292,149855,703.5,803,1506.5,45674,501,516,1017,67489,65406,132895,642.8,502.8,1145.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-18,523,524,1047,76965,71648,148613,488.421,796.916,1285.337,45675,798,803,1601,112161,128894,241055,3277.73,4280.52,7558.25,45675,642,645,1287,100726,99180,199906,2849.69,2644.79,5494.48,45675,483,487,970,74451,75185,149636,788.28,541.83,1330.11,45675,652,661,1313,90933,101375,192308,2027.836,4645.21,6673.046,45675,476,472,948,63862,72720,136582,1023.2939,1612.637,2635.9309,45675,560,566,1126,84800,80205,165005,767.35,737.34,1504.69,45675,399,398,797,63296,72710,136006,744.196,696.187,1440.383,45675,798,808,1606,106129,135825,241954,4526,5955,10481,45675,307,311,618,48847,45252,94099,581.5,632.2,1213.7,45675,511,509,1020,78445,73857,152302,756,819.2,1575.2,45675,493,491,984,66750,63401,130151,687.6,544.9,1232.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
